ID,requirement,functional/non-functional,source_file,data_type,ASR,ASR_Explanation
0,The system shall provide a graphical user interface to all functions of the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement drives the design of the presentation layer, UI framework choices, and overall system layering."
1,Grid technologies shall be utilized to provide secure and reliable communications to remote computing resources.,NFR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This NFR drives the choice of grid middleware and dictates secure, reliable communication patterns and protocols in the architecture."
2,The web portal components shall integrate into the Dataportal Web Server at NCAR.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,This integration mandate imposes compatibility and deployment constraints on the overall system architecture and technology stack.
3,The compute node software shall be developed and deployed for the Hemisphere Linux cluster at CU.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This defines the target OS and cluster deployment topology, impacting runtime environment, packaging, and integration architecture."
4,The system shall provide a web based (portal) user interface for all aspects of the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It dictates a web‐based presentation layer, impacting technology stack choices, deployment topology, and client–server interactions."
5,The system shall use the Globus toolkit.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"Mandating the Globus toolkit drives key architectural decisions around middleware integration, security protocols, and deployment topology."
6,NCAR Security policies and constraints shall be followed.,NFR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It enforces cross-cutting security constraints, driving the design and integration of authentication, authorization, encryption, and auditing components."
7,The system shall use the NCAR Mass Storage System for all file based storage.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This enforces integration with the NCAR Mass Storage System, impacting the storage infrastructure, data access layer, and deployment architecture."
8,All GridBGC users shall be required to have valid NCAR Gatekeeper accounts to use the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,This requirement mandates integrating the NCAR Gatekeeper identity provider into the system’s authentication and authorization architecture.
9,Not all Gatekeeper account holders will have access to the GridBGC system. Users must be approved by the GridBGC administrator(s) for access.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It impacts the security architecture by requiring an admin-mediated user provisioning and access-control workflow.
